"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled","msLevel","filename"
257.053276140356,257.053192138672,257.053375244141,157.797,152.555,164.49,744742.174007162,720812.478662934,75757.515625,15,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
274.273841305491,274.273803710938,274.273864746094,51.242,46.0671,56.5499,4874743.1044,4691670.73329338,475140.625,21,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
274.910047531773,274.909790039062,274.910308837891,194.75,172.493,206.557,3964018.74817969,3959466.27650448,174673.71875,179,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
274.910033945526,274.909698486328,274.910186767578,106.343,98.5262,114.153,1624783.76200911,1622521.2871166,128133.6875,150,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
274.910056636918,274.909698486328,274.910217285156,139.322,129.921,148.58,2377603.26022489,2374931.46483383,157615.578125,184,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
274.91003000804,274.909942626953,274.910125732422,25.253,22.7111,29.3005,175178.290383516,174121.524641738,36754.26171875,43,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
274.91007196576,274.909820556641,274.910369873047,72.2282,64.3484,84.1913,1390597.22715977,1387768.53637524,85407.015625,96,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
274.909985554049,274.909820556641,274.91015625,18.8518,12.3063,22.7111,202741.596185352,201351.05023402,34456.37890625,40,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
274.910133803713,274.909942626953,274.910247802734,59.086,53.9688,64.3484,565989.099434473,564428.524065316,61629.69921875,72,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
274.910077815857,274.909912109375,274.910278320312,159.061,153.819,164.49,1521468.81445606,1519864.42702646,156571.796875,183,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
274.910012954488,274.909790039062,274.910339355469,34.3883,29.3005,38.4326,317509.446878209,316114.639571454,39508.23046875,46,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
